ID,parent_ID,amount,method,paidAt,status
90000000-0000-4000-8000-000000000001,60000000-0000-4000-8000-000000000007,150,BANK_TRANSFER,2026-08-08T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000002,60000000-0000-4000-8000-000000000010,100,BANK_TRANSFER,2026-08-11T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000003,60000000-0000-4000-8000-000000000011,40,CASH,2026-08-12T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000004,60000000-0000-4000-8000-000000000012,180.0,CARD,2026-08-13T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000005,60000000-0000-4000-8000-000000000014,25,CASH,2026-08-15T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000006,60000000-0000-4000-8000-000000000015,320.0,CARD,2026-08-16T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000007,60000000-0000-4000-8000-000000000016,420.0,BANK_TRANSFER,2026-08-17T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000008,60000000-0000-4000-8000-000000000017,45.0,CASH,2026-08-18T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000009,60000000-0000-4000-8000-000000000018,120.0,CARD,2026-08-19T10:00:00Z,COMPLETED
90000000-0000-4000-8000-000000000010,60000000-0000-4000-8000-000000000019,120.0,BANK_TRANSFER,2026-08-20T10:00:00Z,COMPLETED
